index,number,word,meaning,type
1,1,create,を創り出す；を引き起こす,main
2,2,increase,増加する；を増やす,main
3,3,improve,を向上させる；よくなる,main
4,4,mean,を意味する；（...する）つもりである（to do）,main
5,5,own,を所有している；（事実・罪など）を認める,main
6,6,include,を含む,main
7,7,consider,を見なす；について考える,main
8,8,allow,を許す；を与える；（～を）考慮に入れる（for）,main
9,9,suggest,を提案する；を暗示する,main
10,10,produce,を生産する；を取り出す,main
11,11,decide,を決める；に決着をつける,main
12,12,offer,を提供する，申し出る,main
13,13,require,を要求する；を必要とする,main
14,14,share,を共有する；を分担する,main
15,15,store,を保存する；を蓄える,main
16,16,tend,傾向がある；を世話する,main
17,17,concern,心配している；（～に）関係する（with）；に関連する,main
18,18,describe,について述べる，を説明する,main
19,19,involve,を関与させる；を伴う,main
20,20,reduce,を減らす；を（～に）変える（to）,main\n
21,21,design,を設計する；を計画する,main
22,22,force,に強いる；を強要する,main
23,23,limit,を制限［規制］する,main
24,24,bear,に耐える；を負う；を産む；を（心に）抱く,main
25,25,affect,に影響を及ぼす；を感動させる,main
26,26,deal,〔with〕を処理する；〔in〕を商う；を分配する,main
27,27,avoid,を避ける,main
28,28,relate,を関連づける；（～に）関連する（to）,main
29,29,realize,に気づく；を実現する,main
30,30,encourage,を奨励する；を励ます,main
31,31,compare,を比較する；を（～に）たとえる（to）,main
32,32,measure,を測る；を（比較して）評価する,main
33,33,exist,存在する；生存する,main
34,34,mark,に印をつける；を（記号で）示す；に汚れをつける,main
35,35,challenge,に異議を唱える；（人）に挑む,main
36,36,depend,頼る；～次第である,main
37,37,object,反対する；（...）と言って反対する（that節）,main
38,38,demand,を要求する,main
39,39,found,を設立する；（理論など）を（～に基づいて）築く（on）,main
40,40,complete,を完成させる，仕上げる,main
41,41,idea,考え，思いつき；理解；見解；概念,main
42,42,accord,一致；合意，協定,main
43,43,company,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,main
44,44,interest,興味；利子；利害,main
45,45,research,（～についての）研究，調査（into / on / in）,main
46,46,cause,原因；理由；大義,main
47,47,reason,理由；（...する）根拠（to do）；理性；分別,main
48,48,effect,影響，効果；結果,main
49,49,influence,影響（力）,main
50,50,situation,状況；（人の置かれた）立場,main
51,51,environment,環境,main
